"filename", "language", "JavaScript", "JSON", "Markdown", "YAML", "JavaScript React", "SCSS", "HTML", "XML", "CSS", "Less", "comment", "blank", "total"
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/form.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 24, 10, 42
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/input.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/layout.scss", "SCSS", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 7, 32
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/menu.scss", "SCSS", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 4, 16
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/modal.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/notification.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/progress.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/select.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 5, 24
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/slider.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 3, 10
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/spin.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 4, 14
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/import/tabs.scss", "SCSS", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 3, 19, 118
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/antd/style.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 2, 24
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/mixins.scss", "SCSS", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 10, 11, 83
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/assets/styles/nprogress/style.scss", "SCSS", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 3, 16, 100
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Loader/index.jsx", "JavaScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Loader/style.module.scss", "SCSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/MenuLeft/index.jsx", "JavaScript React", 0, 0, 0, 0, 458, 0, 0, 0, 0, 0, 0, 25, 483
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/MenuLeft/style.module.scss", "SCSS", 0, 0, 0, 0, 0, 965, 0, 0, 0, 0, 36, 92, 1093
"/Users/alexeimairyn/Desktop/MakeLite/lims-admin/src/components/layout/Sidebar/index.jsx", "JavaScript React", 0, 0, 0, 0, 424, 0, 0, 0, 0, 0, 0, 12, 436
